date,flat_bill_rs,prana_bill_rs,saving_rs,flat_elec_rs,prana_elec_rs,flat_alt_rs,prana_alt_rs,elec_saving_rs,alt_extra_rs,flat_mwh,prana_mwh,flat_peak_mw,prana_peak_mw,md_saving_rs,rtm_spread_rs_mwh,rtm_mean_rs_mwh,solve_s
2026-04-19,22717367.972115222,21901943.70770111,815424.264414113,21851096.371271472,20837758.166363608,866271.60084375,1064185.5413375,1013338.2049078643,197913.94049375004,2230.2079200000003,2169.4445145,92.92533,95.259424,-46840.6619047618,9600.59,5543.857395833333,7.1574177742004395
2026-04-20,24432074.91093638,23657796.689241778,774278.2216946036,23565803.31009263,22593611.147904277,866271.60084375,1064185.5413375,972192.1621883549,197913.94049375004,2230.2079200000003,2169.0992279999996,92.92533,95.259424,-46840.6619047618,8380.1,6222.180416666666,5.20019006729126
2026-04-21,25302357.209170163,24495498.606831603,806858.6023385599,24436085.608326413,23431313.0654941,866271.60084375,1064185.5413375,1004772.5428323112,197913.94049375004,2230.2079200000003,2168.46776625,92.92533,95.259424,-46840.6619047618,8200.630000000001,6566.456458333334,4.782485723495483
2026-04-22,23792292.279403195,23013976.447860695,778315.8315424994,22926020.678559445,21949790.906523194,866271.60084375,1064185.5413375,976229.7720362507,197913.94049375004,2230.2079200000003,2168.78678175,92.92533,95.259424,-46840.6619047618,8455.17,5969.088020833333,5.222724199295044
2026-04-23,25673306.464468975,24852989.458083317,820317.0063856579,24807034.863625225,23788803.916745815,866271.60084375,1064185.5413375,1018230.9468794093,197913.94049375004,2230.2079200000003,2169.018448,92.92533,95.259424,-46840.6619047618,8675.119999999999,6713.200729166667,9.326102495193481
2026-04-24,27271417.351804037,26476106.246608224,795311.1051958129,26405145.750960287,25411920.705270723,866271.60084375,1064185.5413375,993225.0456895642,197913.94049375004,2230.2079200000003,2168.012538,92.92533,95.259424,-46840.6619047618,7610.12,7345.399375000001,6.993300676345825
2026-04-25,27856097.85969963,27069683.27230484,786414.5873947889,26989826.25885588,26005497.73096734,866271.60084375,1064185.5413375,984328.5278885402,197913.94049375004,2230.2079200000003,2167.5993739999994,92.92533,95.259424,-46840.6619047618,7548.2,7576.693854166667,7.258924961090088
2026-04-26,24364975.97590183,23545092.305599555,819883.6703022756,23498704.37505808,22480906.764262054,866271.60084375,1064185.5413375,1017797.6107960269,197913.94049375004,2230.2079200000003,2168.7851042499997,92.92533,95.259424,-46840.6619047618,9992.7,6195.636666666668,7.466193437576294
2026-04-27,22418545.200577956,21720803.603309058,697741.597268898,21552273.599734206,20656618.061971556,866271.60084375,1064185.5413375,895655.5377626494,197913.94049375004,2230.2079200000003,2166.0436175000004,92.92533,94.591626,-33439.27346938779,9958.55,5425.645729166667,10.519020557403564
2026-04-28,20942361.256887283,20246710.600609172,695650.656278111,20076089.656043533,19182525.05927167,866271.60084375,1064185.5413375,893564.5967718624,197913.94049375004,2230.2079200000003,2166.76222775,92.92533,94.591626,-33439.27346938779,9990.68,4841.6803125,7.886393308639526
