date,flat_bill_rs,prana_bill_rs,saving_rs,flat_elec_rs,prana_elec_rs,flat_alt_rs,prana_alt_rs,flat_wear_rs,prana_wear_rs,elec_saving_rs,alt_extra_rs,wear_extra_rs,flat_mwh,prana_mwh,flat_peak_mw,prana_peak_mw,md_saving_rs,rtm_spread_rs_mwh,rtm_mean_rs_mwh,solve_s
2026-04-09,13247920.463196935,13201385.706136923,46534.75706001185,13247920.463196935,13171625.065336924,0.0,0.0,0.0,29760.640799999997,76295.39786001109,0.0,29760.640799999997,1895.9615760000006,1899.77479925,78.998399,82.884367,-85914.25850340119,5251.88,2989.4090624999994,0.7105090618133545
2026-04-10,14549605.328949789,14110166.998364892,439438.3305848967,14549605.328949789,14085638.998364892,0.0,0.0,0.0,24527.999999999996,463966.3305848967,0.0,24527.999999999996,1895.9615760000006,1900.4534625000001,78.998399,82.884367,-85914.25850340119,9950.13,3595.1240624999996,1.0114831924438477
2026-04-11,16336830.676895896,15894654.978944518,442175.6979513783,16336830.676895896,15764788.822244518,0.0,0.0,0.0,129866.1567,572041.8546513785,0.0,129866.1567,1895.9615760000006,1902.6067277500001,78.998399,85.0,-132688.45748299314,9563.64,4426.776354166667,0.7918682098388672
2026-04-12,16001670.436162457,15647819.784852307,353850.6513101496,16001670.436162457,15588100.515882298,0.0,0.0,0.0,59719.26897000925,413569.9202801585,0.0,59719.26897000925,1895.9615760000006,1900.24638,78.998399,83.489282,-99288.22959183669,9900.25,4270.815729166666,0.7302188873291016
2026-04-13,17909534.46102813,17452829.561567906,456704.8994602226,17909534.46102813,17336927.982512906,0.0,0.0,0.0,115901.57905500001,572606.4785152227,0.0,115901.57905500001,1895.9615760000006,1901.09876725,78.998399,85.0,-132688.45748299314,8483.94,5158.605,0.6989738941192627
2026-04-14,18312734.230548702,17866967.036102254,445767.19444644824,18312734.230548702,17755092.439794753,0.0,0.0,0.0,111874.5963075,557641.7907539494,0.0,111874.5963075,1895.9615760000006,1900.25677475,78.998399,85.0,-132688.45748299314,9600.69,5346.2265625,0.6739187240600586
2026-04-15,18074904.463552095,17611493.268773355,463411.1947787404,18074904.463552095,17496478.353210855,0.0,0.0,0.0,115014.9155625,578426.1103412397,0.0,115014.9155625,1895.9615760000006,1900.429256,78.998399,85.0,-132688.45748299314,10000.0,5235.556874999999,0.6882143020629883
2026-04-16,21356310.725539356,21062703.34353729,293607.3820020668,21356310.725539356,20985860.99378229,0.0,0.0,0.0,76842.349755,370449.73175706714,0.0,76842.349755,1895.9615760000006,1897.6455025,78.998399,85.0,-132688.45748299314,8558.32,6762.498645833333,0.7438249588012695
2026-04-17,21446867.131005198,21160246.544325843,286620.5866793543,21446867.131005198,21081795.223553345,0.0,0.0,0.0,78451.3207725,365071.90745185316,0.0,78451.3207725,1895.9615760000006,1897.66879625,78.998399,85.0,-132688.45748299314,8150.78,6804.637395833334,0.6616542339324951
2026-04-18,21287065.067415982,20988304.212132443,298760.85528353974,21287065.067415982,20909852.89039244,0.0,0.0,0.0,78451.32174,377212.1770235412,0.0,78451.32174,1895.9615760000006,1897.668802,78.998399,85.0,-132688.45748299314,8150.33,6730.276458333334,0.7724196910858154
