date,flat_bill_rs,prana_bill_rs,saving_rs,flat_elec_rs,prana_elec_rs,flat_alt_rs,prana_alt_rs,flat_wear_rs,prana_wear_rs,elec_saving_rs,alt_extra_rs,wear_extra_rs,flat_mwh,prana_mwh,flat_peak_mw,prana_peak_mw,md_saving_rs,rtm_spread_rs_mwh,rtm_mean_rs_mwh,solve_s
2026-05-04,11355901.772209657,11381470.713153098,-25568.940943440422,11355901.772209657,11363109.753153097,0.0,0.0,0.0,18360.96,-7207.980943439528,0.0,18360.96,1895.9615760000006,1899.34128025,78.998399,82.884367,-85914.25850340119,3921.9,2108.993125,0.5635166168212891
2026-05-05,12413061.823417943,12435941.511110526,-22879.687692582607,12413061.823417943,12423677.511110526,0.0,0.0,0.0,12263.999999999998,-10615.687692582607,0.0,12263.999999999998,1895.9615760000006,1899.62278225,78.998399,82.884367,-85914.25850340119,4601.04,2600.9230208333333,0.5906784534454346
2026-05-06,13259388.09379032,13223464.581358759,35923.51243156195,13259388.09379032,13215705.72455876,0.0,0.0,0.0,7758.856799999998,43682.3692315612,0.0,7758.856799999998,1895.9615760000006,1898.7642482499998,78.998399,82.884367,-85914.25850340119,4650.99,2994.7453125000006,0.6540770530700684
2026-05-07,13153562.556545474,13205103.560648726,-51541.004103252664,13153562.556545474,13155259.632983726,0.0,0.0,0.0,49843.92766500002,-1697.0764382518828,0.0,49843.92766500002,1895.9615760000006,1900.0656549999999,78.998399,83.615871,-102086.96598639456,4511.53,2945.5013541666667,0.8104758262634277
2026-05-08,13941894.779564278,13951911.724441407,-10016.944877129048,13941894.779564278,13888847.168311408,0.0,0.0,0.0,63064.55612999998,53047.61125287041,0.0,63064.55612999998,1895.9615760000006,1900.342685,78.998399,83.933916,-109118.5731292516,4299.82,3312.3371875,0.5840320587158203
2026-05-09,13586531.42473925,13588275.60751708,-1744.1827778294683,13586531.42473925,13579001.687117081,0.0,0.0,0.0,9273.920399999999,7529.737622169778,0.0,9273.920399999999,1895.9615760000006,1899.2315720000001,78.998399,82.884367,-85914.25850340119,4951.5,3146.9754166666667,0.6147873401641846
2026-05-10,13282524.376533138,13104182.299035551,178342.0774975866,13282524.376533138,13084232.85943555,0.0,0.0,0.0,19949.439599999998,198291.51709758677,0.0,19949.439599999998,1895.9615760000006,1899.1269687499998,78.998399,82.884367,-85914.25850340119,9970.29,3005.5113541666665,0.5607481002807617
2026-05-11,16851103.58646389,16341821.544908551,509282.04155533947,16851103.58646389,16223171.392313551,0.0,0.0,0.0,118650.15259499999,627932.1941503398,0.0,118650.15259499999,1895.9615760000006,1902.9991412499999,78.998399,85.0,-132688.45748299314,9951.49,4666.083750000001,0.6232256889343262
2026-05-12,19624161.702272616,19297374.834030073,326786.8682425432,19624161.702272616,19186147.472182572,0.0,0.0,0.0,111227.36184750001,438014.23009004444,0.0,111227.36184750001,1895.9615760000006,1902.1101085,78.998399,85.0,-132688.45748299314,8436.7,5956.475104166667,0.625098705291748
2026-05-13,18068844.491900004,18185933.801055346,-117089.30915534124,18068844.491900004,18098521.569345344,0.0,0.0,0.0,87412.23171000001,-29677.07744533941,0.0,87412.23171000001,1895.9615760000006,1899.4968939999999,78.998399,85.0,-132688.45748299314,8743.86,5232.736979166667,0.6909801959991455
