date,flat_bill_rs,prana_bill_rs,saving_rs,flat_elec_rs,prana_elec_rs,flat_alt_rs,prana_alt_rs,elec_saving_rs,alt_extra_rs,flat_mwh,prana_mwh,flat_peak_mw,prana_peak_mw,md_saving_rs,rtm_spread_rs_mwh,rtm_mean_rs_mwh,solve_s
2026-05-07,7552229.061087875,7549863.077715783,2365.9833720913157,7552229.061087875,7549863.077715783,0.0,0.0,2365.9833720913157,0.0,1102.090512,1103.2754940000002,45.920438,47.459088,-30877.670068027335,4511.53,2945.5013541666667,0.27179455757141113
2026-05-08,8010473.296778489,7990572.426441874,19900.87033661455,8010473.296778489,7990572.426441874,0.0,0.0,19900.87033661455,0.0,1102.090512,1103.247633,45.920438,47.459088,-30877.670068027335,4299.82,3312.3371875,0.3238184452056885
2026-05-09,7803906.567461421,7798862.0207249075,5044.5467365132645,7803906.567461421,7798862.0207249075,0.0,0.0,5044.5467365132645,0.0,1102.090512,1103.29065525,45.920438,47.459088,-30877.670068027335,4951.5,3146.9754166666667,0.40340757369995117
2026-05-10,7627192.393687952,7546002.13450007,81190.25918788277,7627192.393687952,7546002.13450007,0.0,0.0,81190.25918788277,0.0,1102.090512,1103.06876775,45.920438,47.459088,-30877.670068027335,9970.29,3005.5113541666665,0.4122343063354492
2026-05-11,9701547.348118285,9539015.21803746,162532.13008082472,9701547.348118285,9539015.21803746,0.0,0.0,162532.13008082472,0.0,1102.090512,1103.36411425,45.920438,47.459088,-30877.670068027335,9951.49,4666.083750000001,0.332491397857666
2026-05-12,11313479.2972378,11201524.288140688,111955.00909711234,11313479.2972378,11201524.288140688,0.0,0.0,111955.00909711234,0.0,1102.090512,1103.16982125,45.920438,47.459088,-30877.670068027335,8436.7,5956.475104166667,0.37238001823425293
2026-05-13,10409399.614189431,10411506.313745968,-2106.6995565369725,10409399.614189431,10411506.313745968,0.0,0.0,-2106.6995565369725,0.0,1102.090512,1102.8303565,45.920438,47.459088,-30877.670068027335,8743.86,5232.736979166667,0.4548523426055908
2026-05-14,9202448.398045955,9168058.98104313,34389.41700282507,9202448.398045955,9168058.98104313,0.0,0.0,34389.41700282507,0.0,1102.090512,1102.6981195,45.920438,47.459088,-30877.670068027335,9999.04,4266.542708333333,0.37567996978759766
2026-05-15,9260776.677802538,9111643.703312768,149132.97448977083,9260776.677802538,9111643.703312768,0.0,0.0,149132.97448977083,0.0,1102.090512,1103.254989,45.920438,47.459088,-30877.670068027335,10000.0,4313.2359375,0.41083478927612305
2026-05-16,10123920.840093965,9981437.000340793,142483.83975317143,10123920.840093965,9981437.000340793,0.0,0.0,142483.83975317143,0.0,1102.090512,1103.195251,45.920438,47.459088,-30877.670068027335,9448.0,5004.204166666667,0.4880404472351074
