date,flat_bill_rs,prana_bill_rs,saving_rs,flat_elec_rs,prana_elec_rs,flat_alt_rs,prana_alt_rs,elec_saving_rs,alt_extra_rs,flat_mwh,prana_mwh,flat_peak_mw,prana_peak_mw,md_saving_rs,rtm_spread_rs_mwh,rtm_mean_rs_mwh,solve_s
2026-04-09,16260075.284855792,15933376.210925074,326699.073930718,15393803.684012042,14869190.669587575,866271.60084375,1064185.5413375,524613.0144244675,197913.94049375004,2230.2079200000003,2163.741132,92.92533,92.636859,5789.043877551099,5251.88,2989.4090624999994,14.466393232345581
2026-04-10,17791239.172190897,17179054.65884866,612184.513342239,16924967.571347147,16114869.117511157,866271.60084375,1064185.5413375,810098.4538359903,197913.94049375004,2230.2079200000003,2171.7831522499996,92.92533,94.111816,-23810.43333333335,9950.13,3595.1240624999996,15.494154691696167
2026-04-11,19893541.33710258,19205294.2494175,688247.0876850821,19027269.73625883,18141108.708079997,866271.60084375,1064185.5413375,886161.0281788334,197913.94049375004,2230.2079200000003,2172.6046895,92.92533,94.591626,-33439.27346938779,9563.64,4426.776354166667,24.53594422340393
2026-04-12,19499294.410996716,18853583.52188283,645710.8891138881,18633022.810152967,17789397.980545327,866271.60084375,1064185.5413375,843624.8296076395,197913.94049375004,2230.2079200000003,2172.406054,92.92533,95.259424,-46840.6619047618,9900.25,4270.815729166666,20.615960359573364
2026-04-13,21743503.108261216,20968729.33979618,774773.7684650347,20877231.507417466,19904543.79845868,866271.60084375,1064185.5413375,972687.708958786,197913.94049375004,2230.2079200000003,2174.4908835000006,92.92533,95.107978,-43801.439455782296,8483.94,5158.605,15.76984190940857
2026-04-14,22217784.512858074,21423935.47982974,793849.0330283344,21351512.912014324,20359749.93849224,866271.60084375,1064185.5413375,991762.9735220857,197913.94049375004,2230.2079200000003,2173.9713227499997,92.92533,95.259424,-46840.6619047618,9600.69,5346.2265625,5.418617486953735
2026-04-15,21938026.823313218,21144293.62590449,793733.1974087283,21071755.222469468,20080108.084566988,866271.60084375,1064185.5413375,991647.1379024796,197913.94049375004,2230.2079200000003,2173.294924,92.92533,95.259424,-46840.6619047618,10000.0,5235.556874999999,8.37089204788208
2026-04-16,25797924.791109156,24977099.03496883,820825.7561403252,24931653.190265406,23912913.49363133,866271.60084375,1064185.5413375,1018739.6966340765,197913.94049375004,2230.2079200000003,2168.5240809999996,92.92533,95.259424,-46840.6619047618,8558.32,6762.498645833333,6.889748573303223
2026-04-17,25904445.73290099,25086962.551956013,817483.1809449755,25038174.13205724,24022777.01061851,866271.60084375,1064185.5413375,1015397.1214387268,197913.94049375004,2230.2079200000003,2168.678839,92.92533,95.259424,-46840.6619047618,8150.78,6804.637395833334,7.37723183631897
2026-04-18,25716471.550111424,24892993.025384173,823478.5247272514,24850199.949267674,23828807.48404667,866271.60084375,1064185.5413375,1021392.4652210027,197913.94049375004,2230.2079200000003,2168.6196812499998,92.92533,95.259424,-46840.6619047618,8150.33,6730.276458333334,5.868387460708618
2026-04-19,22717367.972115222,21871830.85224303,845537.1198721938,21851096.371271472,20807645.310905527,866271.60084375,1064185.5413375,1043451.0603659451,197913.94049375004,2230.2079200000003,2171.44526675,92.92533,95.259424,-46840.6619047618,9600.59,5543.857395833333,5.9174699783325195
2026-04-20,24432074.91093638,23623970.750254773,808104.1606816091,23565803.31009263,22559785.20891727,866271.60084375,1064185.5413375,1006018.1011753604,197913.94049375004,2230.2079200000003,2170.6499759999997,92.92533,95.259424,-46840.6619047618,8380.1,6222.180416666666,7.848706483840942
2026-04-21,25302357.209170163,24476453.18990774,825904.0192624219,24436085.608326413,23412267.64857024,866271.60084375,1064185.5413375,1023817.9597561732,197913.94049375004,2230.2079200000003,2169.2393492499996,92.92533,95.259424,-46840.6619047618,8200.630000000001,6566.456458333334,7.7757062911987305
2026-04-22,23792292.279403195,22983168.842848495,809123.4365547001,22926020.678559445,21918983.301510993,866271.60084375,1064185.5413375,1007037.3770484515,197913.94049375004,2230.2079200000003,2171.0780457499995,92.92533,95.259424,-46840.6619047618,8455.17,5969.088020833333,8.035499334335327
2026-04-23,25673306.464468975,24843624.670408964,829681.7940600105,24807034.863625225,23779439.129071463,866271.60084375,1064185.5413375,1027595.7345537618,197913.94049375004,2230.2079200000003,2168.26045025,92.92533,95.259424,-46840.6619047618,8675.119999999999,6713.200729166667,6.704906702041626
2026-04-24,27271417.351804037,26466470.22014349,804947.1316605471,26405145.750960287,25402284.67880599,866271.60084375,1064185.5413375,1002861.0721542984,197913.94049375004,2230.2079200000003,2167.1914285,92.92533,95.259424,-46840.6619047618,7610.12,7345.399375000001,8.92149019241333
2026-04-25,27856097.85969963,27056548.90943507,799548.9502645582,26989826.25885588,25992363.36809757,866271.60084375,1064185.5413375,997462.8907583095,197913.94049375004,2230.2079200000003,2166.4983679999996,92.92533,95.259424,-46840.6619047618,7548.2,7576.693854166667,12.245666265487671
2026-04-26,24364975.97590183,23529127.08606857,835848.8898332603,23498704.37505808,22464941.54473107,866271.60084375,1064185.5413375,1033762.8303270116,197913.94049375004,2230.2079200000003,2169.9999725,92.92533,95.259424,-46840.6619047618,9992.7,6195.636666666668,6.951648235321045
2026-04-27,22418545.200577956,21624713.944179345,793831.2563986108,21552273.599734206,20560528.402841844,866271.60084375,1064185.5413375,991745.1968923621,197913.94049375004,2230.2079200000003,2176.1717197499997,92.92533,95.259424,-46840.6619047618,9958.55,5425.645729166667,19.548197507858276
2026-04-28,20942361.256887283,20169952.153622214,772409.1032650694,20076089.656043533,19105766.612284712,866271.60084375,1064185.5413375,970323.0437588207,197913.94049375004,2230.2079200000003,2173.643937250001,92.92533,94.98738,-41381.275510204025,9990.68,4841.6803125,10.408003568649292
2026-04-29,15797074.727428759,15382243.676481774,414831.05094698444,14930803.126585009,14318058.135144275,866271.60084375,1064185.5413375,612744.9914407339,197913.94049375004,2230.2079200000003,2166.5403637500003,92.92533,92.914712,213.0823129254859,9900.8,2806.250104166667,11.082809686660767
2026-04-30,14101462.362322498,13881302.149383359,220160.21293913946,13235190.761478748,12817116.60804586,866271.60084375,1064185.5413375,418074.1534328889,197913.94049375004,2230.2079200000003,2162.0826257499994,92.92533,91.764607,23293.420748299453,3619.1800000000003,2135.4807291666666,7.1530561447143555
