date,flat_bill_rs,prana_bill_rs,saving_rs,flat_elec_rs,prana_elec_rs,flat_alt_rs,prana_alt_rs,elec_saving_rs,alt_extra_rs,flat_mwh,prana_mwh,flat_peak_mw,prana_peak_mw,md_saving_rs,rtm_spread_rs_mwh,rtm_mean_rs_mwh,solve_s
2026-08-04,9971063.284723619,9814632.921026275,156430.36369734444,9971063.284723619,9814632.921026275,0.0,0.0,156430.36369734444,0.0,1102.090512,1103.0453929999999,45.920438,47.459088,-30877.670068027335,8562.18,4881.837916666666,0.4113802909851074
2026-08-05,8625638.178123772,8454411.465316394,171226.7128073778,8625638.178123772,8454411.465316394,0.0,0.0,171226.7128073778,0.0,1102.090512,1103.2714735,45.920438,47.459088,-30877.670068027335,9970.05,3804.7918750000003,0.31226348876953125
2026-08-06,7228155.288411417,7203057.462325298,25097.826086118817,7228155.288411417,7203057.462325298,0.0,0.0,25097.826086118817,0.0,1102.090512,1102.8774172499998,45.920438,47.255207,-26786.180612244876,5021.96,2686.072291666667,0.30386853218078613
